,/data/provider/renet/2017-12-31/02/3965_2017-12-31_04-53-30_5a47d29a71158.xml
18751375,/data/provider/renet/2017-12-18/10/2085_2017-12-18_12-53-28_5a371f98d618f.xml
17929835,/data/provider/renet/2017-12-17/10/71-307_2017-12-17_12-54-57_5a35ce716ca80.xml
18890015,/data/provider/renet/2017-12-11/14/627_2017-12-11_16-53-08_5a2e1d440ac65.xml
19044225,/data/provider/renet/2017-12-04/18/71-212_2017-12-04_20-54-17_5a251b498fdf2.xml
19398555,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
11844433,/data/provider/renet/2017-12-16/10/10016453_2017-12-16_12-56-11_5a347d3b223bf.xml
18532415,/data/provider/renet/2017-12-18/10/1026_2017-12-18_12-54-24_5a371fd003d09.xml
12572263,/data/provider/renet/2017-12-15/10/2085_2017-12-15_12-54-08_5a332b4030912.xml
8173833,/data/provider/renet/2017-12-20/14/71-309_2017-12-20_16-55-53_5a39fb69c2142.xml
19400635,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19398545,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
13503085,/data/provider/renet/2017-12-19/10/10016383_2017-12-19_12-55-32_5a387194342a4.xml
19398535,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
18701125,/data/provider/renet/2017-12-08/10/1026_2017-12-08_12-54-37_5a29f0dd16e27.xml
19400655,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
18327265,/data/provider/renet/2017-12-29/18/1072_2017-12-29_20-53-54_5a4610b278a4f.xml
19398525,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19402195,/data/provider/renet/2017-12-15/14/71-334_2017-12-15_16-56-07_5a3363f76572b.xml
19330325,/data/provider/renet/2017-12-22/18/3965_2017-12-22_20-54-06_5a3cd63e38bd9.xml
18994965,/data/provider/renet/2017-12-21/18/71-336_2017-12-21_20-55-14_5a3b8502c647b.xml
19398515,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
19402185,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
9455853,/data/provider/renet/2017-12-12/14/10015302_2017-12-12_17-00-02_5a2f7062ad8d3.xml
19398505,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
16102745,/data/provider/renet/2017-12-14/06/2085_2017-12-14_08-53-15_5a31a14bda0a6.xml
10582083,/data/provider/renet/2017-12-29/14/627_2017-12-29_16-53-03_5a45d83ff3bd6.xml
19402175,/data/provider/renet/2017-12-04/18/71-334xxx_2017-12-04_20-55-30_5a251b92c9038.xml
19400625,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
13210713,/data/provider/renet/2017-12-29/14/627_2017-12-29_16-53-03_5a45d83ff3bd6.xml
14485025,/data/provider/renet/2017-12-18/10/1026_2017-12-18_12-54-24_5a371fd003d09.xml
17002895,/data/provider/renet/2017-12-05/14/6794_2017-12-05_16-54-49_5a2634a9593ba.xml
11292913,/data/provider/renet/2017-12-04/14/627_2017-12-04_16-53-09_5a24e2c5b7b84.xml
18985825,/data/provider/renet/2017-12-30/10/627_2017-12-30_12-53-04_5a46f1808f873.xml
19410005,/data/provider/renet/2017-12-30/06/2085_2017-12-30_08-53-09_5a46b94503b2a.xml
19010105,/data/provider/renet/2017-12-15/10/7042_2017-12-15_12-55-03_5a332b77297af.xml
17949985,/data/provider/renet/2017-12-13/10/71-336_2017-12-13_12-57-49_5a30891d058f4.xml
18919355,/data/provider/renet/2017-12-06/14/71-333_2017-12-06_16-55-58_5a27866ea80e6.xml
17524015,/data/provider/renet/2017-12-15/10/1026_2017-12-15_12-54-28_5a332b540a71d.xml
19399605,/data/provider/renet/2017-12-05/14/71-334_2017-12-05_16-55-45_5a2634e1d8027.xml
