,/data/provider/renet/2017-11-30/06/615-168_2017-11-30_08-53-53_5a1f2c716ca2f.xml
18052525,/data/provider/renet/2017-11-14/06/10016293_2017-11-14_08-53-43_5a0a1467751be.xml
18890015,/data/provider/renet/2017-11-08/10/627_2017-11-08_12-53-10_5a026386d88ce.xml
16030235,/data/provider/renet/2017-11-21/10/627_2017-11-21_12-53-09_5a138705b0033.xml
19044225,/data/provider/renet/2017-11-16/18/71-212_2017-11-16_20-53-55_5a0d6033f3a4d.xml
3920722,/data/provider/renet/2017-11-10/14/1026_2017-11-10_16-54-21_5a053f0d82d88.xml
18731335,/data/provider/renet/2017-11-17/14/10014772_2017-11-17_16-55-25_5a0e79cda727a.xml
14819095,/data/provider/renet/2017-11-17/14/10014772_2017-11-17_16-55-25_5a0e79cda727a.xml
11844433,/data/provider/renet/2017-11-28/14/10016453_2017-11-28_16-56-27_5a1cfa8b42abe.xml
18532415,/data/provider/renet/2017-11-29/18/1026_2017-11-29_20-53-52_5a1e83b0a63ce.xml
7366513,/data/provider/renet/2017-11-17/14/10014772_2017-11-17_16-55-25_5a0e79cda727a.xml
14340715,/data/provider/renet/2017-11-21/10/1026_2017-11-21_12-54-29_5a138755c0b37.xml
18701125,/data/provider/renet/2017-11-27/10/1026_2017-11-27_12-55-11_5a1b707ff02a6.xml
18245535,/data/provider/renet/2017-11-08/18/71-333_2017-11-08_20-54-52_5a02d46c2ac4f.xml
19350495,/data/provider/renet/2017-11-24/14/71-333_2017-11-24_16-54-56_5a17b43018cdc.xml
18994965,/data/provider/renet/2017-11-23/14/71-336_2017-11-23_16-56-19_5a166303e3773.xml
9455853,/data/provider/renet/2017-11-26/14/10015302_2017-11-26_16-53-54_5a1a56f2e0edb.xml
10582083,/data/provider/renet/2017-11-02/06/627_2017-11-02_08-53-02_59fa423eb32e9.xml
13210713,/data/provider/renet/2017-11-06/10/627_2017-11-06_12-53-08_59ffc08451415.xml
14485025,/data/provider/renet/2017-11-29/14/1026_2017-11-29_16-54-11_5a1e4b836a603.xml
11292913,/data/provider/renet/2017-11-29/06/627_2017-11-29_08-53-03_5a1ddabf5c059.xml
19145785,/data/provider/renet/2017-11-23/06/615-162_2017-11-23_08-53-51_5a15f1ef2d551.xml
18985825,/data/provider/renet/2017-11-22/10/627_2017-11-22_12-53-12_5a14d888b4197.xml
7145773,/data/provider/renet/2017-11-17/14/10014772_2017-11-17_16-55-25_5a0e79cda727a.xml
16022885,/data/provider/renet/2017-11-27/18/1026_2017-11-27_20-54-02_5a1be0bad5b3f.xml
18219835,/data/provider/renet/2017-11-29/18/71-333_2017-11-29_20-54-49_5a1e83e9bd406.xml
17949985,/data/provider/renet/2017-11-25/06/71-336_2017-11-25_08-53-52_5a1894f0ee73c.xml
17729045,/data/provider/renet/2017-11-02/06/2085_2017-11-02_08-53-12_59fa42481826e.xml
18919355,/data/provider/renet/2017-11-24/18/71-333_2017-11-24_20-54-29_5a17ec5581760.xml
17524015,/data/provider/renet/2017-11-23/14/1026_2017-11-23_16-54-12_5a166284c2fe0.xml
18735585,/data/provider/renet/2017-11-15/10/71-322_2017-11-15_12-57-45_5a0b9f19d7ac2.xml
